"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000008565.1","GCA_001638825.1","GCA_008329785.1","GCA_011604805.1","GCA_011604825.1","GCA_020546685.1","GCA_021378295.1","GCA_024138735.1"
"DXG80_11705","","SDR family oxidoreductase","8","8","1","1","1949","1","1220","","683","683","683","DR_0411.p01","A2G07_11485.p01","a6679ee1dd99a76d4f263da36fcf6004_9072","689a1f7569cd370648666ad3906989ad_3824","e7eb4eb1fba968f75f75040ad2de8570_9008","5974397fafb4265a64d121638449c96c_1656","DRO_0409.p01","5b1dec001b64d68f08bc514628990a75_6713"
"DRO_2170","","ABC transporter ATP-binding protein","8","8","1","1","499","1","499","","746","746","746","DR_2198.p01","A2G07_02595.p01","a6679ee1dd99a76d4f263da36fcf6004_5645","689a1f7569cd370648666ad3906989ad_508","e7eb4eb1fba968f75f75040ad2de8570_2175","5974397fafb4265a64d121638449c96c_8870","DRO_2170.p01","5b1dec001b64d68f08bc514628990a75_3287"
"DXG80_02130","","DUF1999 domain-containing protein","8","8","1","1","1474","1","1981","","500","500","500","DR_1194.p01","A2G07_07550.p01","a6679ee1dd99a76d4f263da36fcf6004_1633","689a1f7569cd370648666ad3906989ad_6906","e7eb4eb1fba968f75f75040ad2de8570_5986","5974397fafb4265a64d121638449c96c_4856","DRO_1191.p01","5b1dec001b64d68f08bc514628990a75_9954"
"HAV35_04810","","hypothetical protein","8","8","1","1","876","1","876","","395","395","395","DR_1818.p01","A2G07_04510.p01","a6679ee1dd99a76d4f263da36fcf6004_4086","689a1f7569cd370648666ad3906989ad_9293","e7eb4eb1fba968f75f75040ad2de8570_3665","5974397fafb4265a64d121638449c96c_7316","DRO_1797.p01","5b1dec001b64d68f08bc514628990a75_1804"
"DXG80_10360","","valine--tRNA ligase","8","8","1","1","1698","1","969","","2741","2741","2741","DR_0148.p01","A2G07_12790.p01","a6679ee1dd99a76d4f263da36fcf6004_8012","689a1f7569cd370648666ad3906989ad_2812","e7eb4eb1fba968f75f75040ad2de8570_9994","5974397fafb4265a64d121638449c96c_595","DRO_0147.p01","5b1dec001b64d68f08bc514628990a75_5673"
"meaB","","methylmalonyl Co-A mutase-associated GTPase MeaB","8","8","1","1","946","1","2509","","920","920","920","DR_1747.p01","A2G07_04860.p01","a6679ee1dd99a76d4f263da36fcf6004_3797","689a1f7569cd370648666ad3906989ad_9015","e7eb4eb1fba968f75f75040ad2de8570_3942","5974397fafb4265a64d121638449c96c_7024","DRO_1726.p01","5b1dec001b64d68f08bc514628990a75_1501"
"HAV35_14060","","DedA family protein","8","8","1","2","316","2","215","","662","662","662","DR_A0153.p01","A2G07_14245.p01","a6679ee1dd99a76d4f263da36fcf6004_11023","689a1f7569cd370648666ad3906989ad_10816","e7eb4eb1fba968f75f75040ad2de8570_10652","5974397fafb4265a64d121638449c96c_11258","DRO_A0155.p01","5b1dec001b64d68f08bc514628990a75_11738"
"DRO_A0252","","MerR family transcriptional regulator","8","8","1","2","221","2","310","","464","464","464","DR_A0252.p01","A2G07_14725.p01","a6679ee1dd99a76d4f263da36fcf6004_11417","689a1f7569cd370648666ad3906989ad_10438","e7eb4eb1fba968f75f75040ad2de8570_11034","5974397fafb4265a64d121638449c96c_11645","DRO_A0252.p01","5b1dec001b64d68f08bc514628990a75_11340"
"MSS93_13535","","phage holin family protein","8","8","1","1","1502","1","1953","","371","371","371","DR_1165.p01","A2G07_07690.p01","a6679ee1dd99a76d4f263da36fcf6004_1518","689a1f7569cd370648666ad3906989ad_6795","e7eb4eb1fba968f75f75040ad2de8570_6099","5974397fafb4265a64d121638449c96c_4740","DRO_1163.p01","5b1dec001b64d68f08bc514628990a75_9834"
"DXG80_15215","","aldehyde dehydrogenase family protein","8","8","1","2","55","2","55","","1547","1547","1547","DR_A0348.p01","A2G07_13420.p01","a6679ee1dd99a76d4f263da36fcf6004_11778","689a1f7569cd370648666ad3906989ad_11518","e7eb4eb1fba968f75f75040ad2de8570_11370","5974397fafb4265a64d121638449c96c_12012","DRO_A0344.p01","5b1dec001b64d68f08bc514628990a75_10919"
"aceB","","malate synthase A","8","8","1","2","198","2","335","","1565","1565","1565","DR_A0277.p01","A2G07_14840.p01","a6679ee1dd99a76d4f263da36fcf6004_11506","689a1f7569cd370648666ad3906989ad_10352","e7eb4eb1fba968f75f75040ad2de8570_11120","5974397fafb4265a64d121638449c96c_11736","DRO_A0275.p01","5b1dec001b64d68f08bc514628990a75_11236"
"DXG80_11780","","hypothetical protein","8","8","1","1","1964","1","1235","","833","833","833","DR_0425.p01","A2G07_11410.p01","a6679ee1dd99a76d4f263da36fcf6004_9132","689a1f7569cd370648666ad3906989ad_3876","e7eb4eb1fba968f75f75040ad2de8570_8955","5974397fafb4265a64d121638449c96c_1716","DRO_0423.p01","5b1dec001b64d68f08bc514628990a75_6767"
"lipA","","lipoyl synthase","8","8","1","1","2297","1","1568","","995","995","995","DR_0765.p01","A2G07_09680.p01","a6679ee1dd99a76d4f263da36fcf6004_10536","689a1f7569cd370648666ad3906989ad_5215","e7eb4eb1fba968f75f75040ad2de8570_7625","5974397fafb4265a64d121638449c96c_3120","DRO_0761.p01","5b1dec001b64d68f08bc514628990a75_8220"
"E5E91_09840","","L-lactate permease","8","8","1","1","790","1","790","","1703","1703","1703","DR_1906.p01","A2G07_04080.p01","a6679ee1dd99a76d4f263da36fcf6004_4444","689a1f7569cd370648666ad3906989ad_9646","e7eb4eb1fba968f75f75040ad2de8570_3321","5974397fafb4265a64d121638449c96c_7679","DRO_1884.p01","5b1dec001b64d68f08bc514628990a75_2143"
"DXG80_07230","","class I SAM-dependent methyltransferase","8","8","1","1","511","1","511","","1388","1388","1388","DR_2187.p01","A2G07_02655.p01","a6679ee1dd99a76d4f263da36fcf6004_5595","689a1f7569cd370648666ad3906989ad_461","e7eb4eb1fba968f75f75040ad2de8570_2220","5974397fafb4265a64d121638449c96c_8823","DRO_2159.p01","5b1dec001b64d68f08bc514628990a75_3248"
"MSS93_11155","","SDR family oxidoreductase","8","8","1","1","2263","1","1534","","755","755","755","DR_0730.p01","A2G07_09850.p01","a6679ee1dd99a76d4f263da36fcf6004_10400","689a1f7569cd370648666ad3906989ad_5083","e7eb4eb1fba968f75f75040ad2de8570_7753","5974397fafb4265a64d121638449c96c_2984","DRO_0727.p01","5b1dec001b64d68f08bc514628990a75_8090"
"E5E91_06780","","spermidine/putrescine ABC transporter substrate-binding protein","8","8","1","1","1365","1","2090","","1106","1106","1106","DR_1305.p01","A2G07_07000.p01","a6679ee1dd99a76d4f263da36fcf6004_2071","689a1f7569cd370648666ad3906989ad_7321","e7eb4eb1fba968f75f75040ad2de8570_5571","5974397fafb4265a64d121638449c96c_5292","DRO_1296.p01","5b1dec001b64d68f08bc514628990a75_10383"
"HAV35_00170","","glycosyltransferase","8","8","1","1","1646","1","917","","1076","1076","1076","DR_0089.p01","A2G07_13060.p01","a6679ee1dd99a76d4f263da36fcf6004_7786","689a1f7569cd370648666ad3906989ad_2597","e7eb4eb1fba968f75f75040ad2de8570_128","5974397fafb4265a64d121638449c96c_370","DRO_0089.p01","5b1dec001b64d68f08bc514628990a75_5438"
"purU","","formyltetrahydrofolate deformylase","8","8","1","1","2125","1","1396","","896","896","896","DR_0584.p01","A2G07_10565.p01","a6679ee1dd99a76d4f263da36fcf6004_9812","689a1f7569cd370648666ad3906989ad_4522","e7eb4eb1fba968f75f75040ad2de8570_8312","5974397fafb4265a64d121638449c96c_2388","DRO_0584.p01","5b1dec001b64d68f08bc514628990a75_7454"
"DXG80_07325","","YigZ family protein","8","8","1","1","493","1","493","","611","611","611","DR_2203.p01","A2G07_02565.p01","a6679ee1dd99a76d4f263da36fcf6004_5665","689a1f7569cd370648666ad3906989ad_530","e7eb4eb1fba968f75f75040ad2de8570_2155","5974397fafb4265a64d121638449c96c_8890","DRO_2176.p01","5b1dec001b64d68f08bc514628990a75_3311"
"HAV23_07680","","NAD(P)/FAD-dependent oxidoreductase","8","8","1","1","2474","1","1745","","1139","1139","1139","DR_0950.p01","A2G07_08760.p01","a6679ee1dd99a76d4f263da36fcf6004_640","689a1f7569cd370648666ad3906989ad_5945","e7eb4eb1fba968f75f75040ad2de8570_6918","5974397fafb4265a64d121638449c96c_3858","DRO_0943.p01","5b1dec001b64d68f08bc514628990a75_8989"
"A2G07_14075","","class I SAM-dependent DNA methyltransferase","8","8","1","2","350","2","181","","716","716","716","DR_A0119.p01","A2G07_14075.p01","a6679ee1dd99a76d4f263da36fcf6004_10888","689a1f7569cd370648666ad3906989ad_10950","e7eb4eb1fba968f75f75040ad2de8570_10521","5974397fafb4265a64d121638449c96c_11122","DRO_A0119.p01","5b1dec001b64d68f08bc514628990a75_11894"
"DXG80_15905","","S8 family serine peptidase","8","8","1","3","11","3","11","","2234","2234","2234","DR_B0069.p01","A2G07_15710.p01","a6679ee1dd99a76d4f263da36fcf6004_12314","689a1f7569cd370648666ad3906989ad_12259","e7eb4eb1fba968f75f75040ad2de8570_11835","5974397fafb4265a64d121638449c96c_12518","DRO_B0074.p01","5b1dec001b64d68f08bc514628990a75_12180"
"DXG80_06245","","DUF3809 domain-containing protein","8","8","1","1","695","1","695","","473","473","473","DR_2006.p01","A2G07_03600.p01","a6679ee1dd99a76d4f263da36fcf6004_4827","689a1f7569cd370648666ad3906989ad_10035","e7eb4eb1fba968f75f75040ad2de8570_2936","5974397fafb4265a64d121638449c96c_8063","DRO_1980.p01","5b1dec001b64d68f08bc514628990a75_2536"
"A2G07_11715","","ABC transporter permease","8","8","1","1","1905","1","1176","","1022","1022","1022","DR_0364.p01","A2G07_11715.p01","a6679ee1dd99a76d4f263da36fcf6004_8891","689a1f7569cd370648666ad3906989ad_3650","e7eb4eb1fba968f75f75040ad2de8570_9176","5974397fafb4265a64d121638449c96c_1472","DRO_0363.p01","5b1dec001b64d68f08bc514628990a75_6509"
"HAV35_03180","","hypothetical protein","8","8","1","1","561","1","561","","437","437","437","DR_2139.p01","A2G07_02915.p01","a6679ee1dd99a76d4f263da36fcf6004_5385","689a1f7569cd370648666ad3906989ad_262","e7eb4eb1fba968f75f75040ad2de8570_2418","5974397fafb4265a64d121638449c96c_8619","DRO_2111.p01","5b1dec001b64d68f08bc514628990a75_3054"
"HAV23_13680","","HAMP domain-containing protein","8","8","1","2","266","2","265","","1598","1598","1598","DR_A0205.p01","A2G07_14500.p01","a6679ee1dd99a76d4f263da36fcf6004_11231","689a1f7569cd370648666ad3906989ad_10620","e7eb4eb1fba968f75f75040ad2de8570_10851","5974397fafb4265a64d121638449c96c_11464","DRO_A0206.p01","5b1dec001b64d68f08bc514628990a75_11527"
"A2G07_01905","","GNAT family N-acetyltransferase","8","8","1","1","364","1","364","","1160","1160","1160","DR_2334.p01","A2G07_01905.p01","a6679ee1dd99a76d4f263da36fcf6004_6190","689a1f7569cd370648666ad3906989ad_1039","e7eb4eb1fba968f75f75040ad2de8570_1648","5974397fafb4265a64d121638449c96c_9418","DRO_2304.p01","5b1dec001b64d68f08bc514628990a75_3864"
"DR_B0121","","ABC transporter ATP-binding protein","8","8","1","3","61","3","61","","809","809","809","DR_B0121.p01","A2G07_15445.p01","a6679ee1dd99a76d4f263da36fcf6004_12101","689a1f7569cd370648666ad3906989ad_12055","e7eb4eb1fba968f75f75040ad2de8570_11638","5974397fafb4265a64d121638449c96c_12734","DRO_B0128.p01","5b1dec001b64d68f08bc514628990a75_12369"
"E5E91_00080","","NAD-dependent deacylase","8","8","1","1","56","1","56","","740","740","740","DR_0016.p01","A2G07_00315.p01","a6679ee1dd99a76d4f263da36fcf6004_7483","689a1f7569cd370648666ad3906989ad_2301","e7eb4eb1fba968f75f75040ad2de8570_421","5974397fafb4265a64d121638449c96c_63","DRO_0017.p01","5b1dec001b64d68f08bc514628990a75_5132"
"mqnE","","aminofutalosine synthase MqnE","8","8","1","1","1907","1","1178","","1130","1130","1130","DR_0366.p01","A2G07_11705.p01","a6679ee1dd99a76d4f263da36fcf6004_8899","689a1f7569cd370648666ad3906989ad_3656","e7eb4eb1fba968f75f75040ad2de8570_9168","5974397fafb4265a64d121638449c96c_1480","DRO_0365.p01","5b1dec001b64d68f08bc514628990a75_6521"
"HAV23_08800","","hypothetical protein","8","8","1","1","1495","1","1960","","896","896","896","DR_1172.p01","A2G07_07655.p01","a6679ee1dd99a76d4f263da36fcf6004_1545","689a1f7569cd370648666ad3906989ad_6822","e7eb4eb1fba968f75f75040ad2de8570_6071","5974397fafb4265a64d121638449c96c_4768","DRO_1170.p01","5b1dec001b64d68f08bc514628990a75_9870"
"mltG","","endolytic transglycosylase MltG","8","8","1","1","158","1","158","","1031","1031","1031","DR_2552.p01","A2G07_00830.p01","a6679ee1dd99a76d4f263da36fcf6004_7068","689a1f7569cd370648666ad3906989ad_1900","e7eb4eb1fba968f75f75040ad2de8570_805","5974397fafb4265a64d121638449c96c_10288","DRO_2524.p01","5b1dec001b64d68f08bc514628990a75_4733"
"E5E91_13605","","lipid-A-disaccharide synthase","8","8","1","1","84","1","84","","1226","1226","1226","DR_2625.p01","A2G07_00455.p01","a6679ee1dd99a76d4f263da36fcf6004_7371","689a1f7569cd370648666ad3906989ad_2191","e7eb4eb1fba968f75f75040ad2de8570_523","5974397fafb4265a64d121638449c96c_10591","DRO_2598.p01","5b1dec001b64d68f08bc514628990a75_5032"
"DR_1465","","hypothetical protein","8","8","1","1","1218","1","2237","","566","566","566","DR_1465.p01","A2G07_06250.p01","a6679ee1dd99a76d4f263da36fcf6004_2687","689a1f7569cd370648666ad3906989ad_7907","e7eb4eb1fba968f75f75040ad2de8570_5000","5974397fafb4265a64d121638449c96c_5909","DRO_1447.p01","5b1dec001b64d68f08bc514628990a75_423"
"DRO_1669","","long-chain fatty acid--CoA ligase","8","8","1","1","1002","1","2453","","1754","1754","1754","DR_1692.p01","A2G07_05140.p01","a6679ee1dd99a76d4f263da36fcf6004_3567","689a1f7569cd370648666ad3906989ad_8790","e7eb4eb1fba968f75f75040ad2de8570_4150","5974397fafb4265a64d121638449c96c_6794","DRO_1669.p01","5b1dec001b64d68f08bc514628990a75_1295"
"MSS93_05655","","hypothetical protein","8","8","1","1","307","1","307","","860","2624","2403","DR_2392.p01","A2G07_01620.p01","a6679ee1dd99a76d4f263da36fcf6004_6428","689a1f7569cd370648666ad3906989ad_1272","e7eb4eb1fba968f75f75040ad2de8570_1418","5974397fafb4265a64d121638449c96c_9659","DRO_2364.p01","5b1dec001b64d68f08bc514628990a75_4104"
"E5E91_11435","","lysozyme inhibitor LprI family protein","8","8","1","1","486","1","486","","383","383","383","DR_2210.p01","A2G07_02530.p01","a6679ee1dd99a76d4f263da36fcf6004_5695","689a1f7569cd370648666ad3906989ad_560","e7eb4eb1fba968f75f75040ad2de8570_2123","5974397fafb4265a64d121638449c96c_8920","DRO_2183.p01","5b1dec001b64d68f08bc514628990a75_3343"
"DRO_1981","","DUF3248 domain-containing protein","8","8","1","1","694","1","694","","239","239","239","DR_2007.p01","A2G07_03595.p01","a6679ee1dd99a76d4f263da36fcf6004_4831","689a1f7569cd370648666ad3906989ad_10039","e7eb4eb1fba968f75f75040ad2de8570_2932","5974397fafb4265a64d121638449c96c_8067","DRO_1981.p01","5b1dec001b64d68f08bc514628990a75_2540"
"DXG80_06675","","glycerophosphodiester phosphodiesterase","8","8","1","1","616","1","616","","857","857","857","DR_2084.p01","A2G07_03190.p01","a6679ee1dd99a76d4f263da36fcf6004_5162","689a1f7569cd370648666ad3906989ad_43","e7eb4eb1fba968f75f75040ad2de8570_2632","5974397fafb4265a64d121638449c96c_8399","DRO_2056.p01","5b1dec001b64d68f08bc514628990a75_2831"
"A2G07_01980","","ABC transporter ATP-binding protein","8","8","1","1","379","1","379","","983","983","983","DR_2316.p01","A2G07_01980.p01","a6679ee1dd99a76d4f263da36fcf6004_6130","689a1f7569cd370648666ad3906989ad_979","e7eb4eb1fba968f75f75040ad2de8570_1705","5974397fafb4265a64d121638449c96c_9358","DRO_2289.p01","5b1dec001b64d68f08bc514628990a75_3808"
"DRO_2030","","META domain-containing protein","8","8","1","1","642","1","642","","443","443","443","DR_2056.p01","A2G07_03320.p01","a6679ee1dd99a76d4f263da36fcf6004_5050","689a1f7569cd370648666ad3906989ad_10250","e7eb4eb1fba968f75f75040ad2de8570_2731","5974397fafb4265a64d121638449c96c_8287","DRO_2030.p01","5b1dec001b64d68f08bc514628990a75_2731"
"DRO_A0322","","glycosyltransferase","8","8","1","2","34","2","34","","1256","1256","1256","DR_A0329.p01","A2G07_13315.p01","a6679ee1dd99a76d4f263da36fcf6004_11698","689a1f7569cd370648666ad3906989ad_11598","e7eb4eb1fba968f75f75040ad2de8570_11295","5974397fafb4265a64d121638449c96c_11931","DRO_A0322.p01","5b1dec001b64d68f08bc514628990a75_11029"
"E5E91_03635","","V-type ATP synthase subunit K","8","8","1","1","2232","1","1503","","305","305","305","DR_0696.p01","A2G07_10010.p01","a6679ee1dd99a76d4f263da36fcf6004_10264","689a1f7569cd370648666ad3906989ad_4962","e7eb4eb1fba968f75f75040ad2de8570_7871","5974397fafb4265a64d121638449c96c_2849","DRO_0694.p01","5b1dec001b64d68f08bc514628990a75_7942"
"DR_1024","","putative metal-dependent hydrolase","8","8","1","1","2544","1","1815","","515","515","515","DR_1024.p01","A2G07_08395.p01","a6679ee1dd99a76d4f263da36fcf6004_940","689a1f7569cd370648666ad3906989ad_6231","e7eb4eb1fba968f75f75040ad2de8570_6643","5974397fafb4265a64d121638449c96c_4164","DRO_1018.p01","5b1dec001b64d68f08bc514628990a75_9267"
"DXG80_14035","","hypothetical protein","8","8","1","2","177","2","177","","371","371","371","DR_A0115.p01","A2G07_14055.p01","a6679ee1dd99a76d4f263da36fcf6004_10872","689a1f7569cd370648666ad3906989ad_10970","e7eb4eb1fba968f75f75040ad2de8570_10506","5974397fafb4265a64d121638449c96c_11106","DRO_A0115.p01","5b1dec001b64d68f08bc514628990a75_11914"
"MSS93_04775","","hypothetical protein","8","8","1","1","455","1","455","","428","428","428","DR_2240.p01","A2G07_02375.p01","a6679ee1dd99a76d4f263da36fcf6004_5815","689a1f7569cd370648666ad3906989ad_683","e7eb4eb1fba968f75f75040ad2de8570_1998","5974397fafb4265a64d121638449c96c_9041","DRO_2214.p01","5b1dec001b64d68f08bc514628990a75_3462"
"HAV23_15335","","sodium:proton antiporter","8","8","1","3","59","3","59","","1268","1268","1268","DR_B0119.p01","A2G07_15455.p01","a6679ee1dd99a76d4f263da36fcf6004_12111","689a1f7569cd370648666ad3906989ad_12066","e7eb4eb1fba968f75f75040ad2de8570_11648","5974397fafb4265a64d121638449c96c_12723","DRO_B0125.p01","5b1dec001b64d68f08bc514628990a75_12359"
"recQ","","DNA helicase RecQ","8","8","1","1","1382","1","2073","","2474","2474","2474","DR_1289.p01","A2G07_07085.p01","a6679ee1dd99a76d4f263da36fcf6004_2007","689a1f7569cd370648666ad3906989ad_7257","e7eb4eb1fba968f75f75040ad2de8570_5630","5974397fafb4265a64d121638449c96c_5228","DRO_1280.p01","5b1dec001b64d68f08bc514628990a75_10319"
"DRO_2348","","TetR/AcrR family transcriptional regulator","8","8","1","1","322","1","322","","593","593","593","DR_2376.p01","A2G07_01695.p01","a6679ee1dd99a76d4f263da36fcf6004_6360","689a1f7569cd370648666ad3906989ad_1208","e7eb4eb1fba968f75f75040ad2de8570_1482","5974397fafb4265a64d121638449c96c_9593","DRO_2348.p01","5b1dec001b64d68f08bc514628990a75_4038"
"DXG80_02355","","MaoC family dehydratase","8","8","1","1","1430","1","2025","","482","482","482","DR_1239.p01","A2G07_07330.p01","a6679ee1dd99a76d4f263da36fcf6004_1811","689a1f7569cd370648666ad3906989ad_7070","e7eb4eb1fba968f75f75040ad2de8570_5822","5974397fafb4265a64d121638449c96c_5030","DRO_1235.p01","5b1dec001b64d68f08bc514628990a75_10124"
"HAV35_03735","","DUF4442 domain-containing protein","8","8","1","1","671","1","671","","479","479","479","DR_2030.p01","A2G07_03475.p01","a6679ee1dd99a76d4f263da36fcf6004_4931","689a1f7569cd370648666ad3906989ad_10136","e7eb4eb1fba968f75f75040ad2de8570_2839","5974397fafb4265a64d121638449c96c_8169","DRO_2005.p01","5b1dec001b64d68f08bc514628990a75_2625"
"DRO_0985","","OmpH family outer membrane protein","8","8","1","1","2514","1","1785","","482","482","482","DR_0988.p01","A2G07_08555.p01","a6679ee1dd99a76d4f263da36fcf6004_802","689a1f7569cd370648666ad3906989ad_6103","e7eb4eb1fba968f75f75040ad2de8570_6768","5974397fafb4265a64d121638449c96c_4026","DRO_0985.p01","5b1dec001b64d68f08bc514628990a75_9149"
"rplL","","50S ribosomal protein L7/L12","8","8","1","1","658","1","658","","368","368","368","DR_2043.p01","A2G07_03410.p01","a6679ee1dd99a76d4f263da36fcf6004_4986","689a1f7569cd370648666ad3906989ad_10187","e7eb4eb1fba968f75f75040ad2de8570_2792","5974397fafb4265a64d121638449c96c_8224","DRO_2018.p01","5b1dec001b64d68f08bc514628990a75_2674"
"HAV35_03365","","type II toxin-antitoxin system VapC family toxin","8","8","1","1","598","1","598","","392","392","392","DR_2102.p01","A2G07_03100.p01","a6679ee1dd99a76d4f263da36fcf6004_5234","689a1f7569cd370648666ad3906989ad_115","e7eb4eb1fba968f75f75040ad2de8570_2564","5974397fafb4265a64d121638449c96c_8471","DRO_2074.p01","5b1dec001b64d68f08bc514628990a75_2917"
"DR_A0003","","NAD-dependent succinate-semialdehyde dehydrogenase","8","8","1","2","77","2","77","","1463","1463","1463","DR_A0003.p01","A2G07_13535.p01","a6679ee1dd99a76d4f263da36fcf6004_11867","689a1f7569cd370648666ad3906989ad_11418","e7eb4eb1fba968f75f75040ad2de8570_11462","5974397fafb4265a64d121638449c96c_10655","DRO_A0003.p01","5b1dec001b64d68f08bc514628990a75_10797"
"HAV23_11345","","VOC family protein","8","8","1","1","999","1","2456","","359","359","359","DR_1695.p01","A2G07_05125.p01","a6679ee1dd99a76d4f263da36fcf6004_3579","689a1f7569cd370648666ad3906989ad_8802","e7eb4eb1fba968f75f75040ad2de8570_4138","5974397fafb4265a64d121638449c96c_6806","DRO_1672.p01","5b1dec001b64d68f08bc514628990a75_1311"
"HAV35_09370","","AI-2E family transporter","8","8","1","1","2425","1","1696","","1184","1184","1184","DR_0898.p01","A2G07_09015.p01","a6679ee1dd99a76d4f263da36fcf6004_437","689a1f7569cd370648666ad3906989ad_5743","e7eb4eb1fba968f75f75040ad2de8570_7110","5974397fafb4265a64d121638449c96c_3652","DRO_0893.p01","5b1dec001b64d68f08bc514628990a75_8785"
"A2G07_06980","","30S ribosomal protein S20","8","8","1","1","1361","1","2094","","278","278","278","DR_1309.p01","A2G07_06980.p01","a6679ee1dd99a76d4f263da36fcf6004_2086","689a1f7569cd370648666ad3906989ad_7337","e7eb4eb1fba968f75f75040ad2de8570_5557","5974397fafb4265a64d121638449c96c_5308","DRO_1300.p01","5b1dec001b64d68f08bc514628990a75_10397"
"HAV35_13690","","hypothetical protein","8","8","1","2","147","2","147","","389","389","389","DR_A0083.p01","A2G07_13905.p01","a6679ee1dd99a76d4f263da36fcf6004_10753","689a1f7569cd370648666ad3906989ad_11106","e7eb4eb1fba968f75f75040ad2de8570_10364","5974397fafb4265a64d121638449c96c_10978","DRO_A0081.p01","5b1dec001b64d68f08bc514628990a75_12070"
"A2G07_15435","","iron ABC transporter permease","8","8","1","3","63","3","63","","974","974","974","DR_B0123.p01","A2G07_15435.p01","a6679ee1dd99a76d4f263da36fcf6004_12093","689a1f7569cd370648666ad3906989ad_12047","e7eb4eb1fba968f75f75040ad2de8570_11631","5974397fafb4265a64d121638449c96c_12742","DRO_B0130.p01","5b1dec001b64d68f08bc514628990a75_12377"
"MSS93_16585","","hypothetical protein","8","8","1","2","141","2","141","","428","428","428","DR_A0077.p01","A2G07_13875.p01","a6679ee1dd99a76d4f263da36fcf6004_10729","689a1f7569cd370648666ad3906989ad_11130","e7eb4eb1fba968f75f75040ad2de8570_10340","5974397fafb4265a64d121638449c96c_10954","DRO_A0075.p01","5b1dec001b64d68f08bc514628990a75_12090"
"E5E91_02985","","SpoIID/LytB domain-containing protein","8","8","1","1","2113","1","1384","","1271","1271","1271","DR_0572.p01","A2G07_10625.p01","a6679ee1dd99a76d4f263da36fcf6004_9765","689a1f7569cd370648666ad3906989ad_4478","e7eb4eb1fba968f75f75040ad2de8570_8358","5974397fafb4265a64d121638449c96c_2340","DRO_0572.p01","5b1dec001b64d68f08bc514628990a75_7410"
"MSS93_06070","","hypothetical protein","8","8","1","1","236","1","236","","506","506","506","DR_2467.p01","A2G07_01250.p01","a6679ee1dd99a76d4f263da36fcf6004_6735","689a1f7569cd370648666ad3906989ad_1566","e7eb4eb1fba968f75f75040ad2de8570_1135","5974397fafb4265a64d121638449c96c_9957","DRO_2440.p01","5b1dec001b64d68f08bc514628990a75_4401"
"HAV23_00860","","hypothetical protein","8","8","1","1","459","1","459","","197","197","197","DR_2236.p01","A2G07_02395.p01","a6679ee1dd99a76d4f263da36fcf6004_5801","689a1f7569cd370648666ad3906989ad_667","e7eb4eb1fba968f75f75040ad2de8570_2014","5974397fafb4265a64d121638449c96c_9027","DRO_2210.p01","5b1dec001b64d68f08bc514628990a75_3446"
"pgi","","glucose-6-phosphate isomerase","8","8","1","1","951","1","2504","","1625","1625","1625","DR_1742.p01","A2G07_04885.p01","a6679ee1dd99a76d4f263da36fcf6004_3777","689a1f7569cd370648666ad3906989ad_8995","e7eb4eb1fba968f75f75040ad2de8570_3958","5974397fafb4265a64d121638449c96c_7004","DRO_1721.p01","5b1dec001b64d68f08bc514628990a75_1483"
"A2G07_07610","","pyridoxamine 5'-phosphate oxidase","8","8","1","1","1486","1","1969","","413","413","413","DR_1181.p01","A2G07_07610.p01","a6679ee1dd99a76d4f263da36fcf6004_1581","689a1f7569cd370648666ad3906989ad_6858","e7eb4eb1fba968f75f75040ad2de8570_6036","5974397fafb4265a64d121638449c96c_4804","DRO_1179.p01","5b1dec001b64d68f08bc514628990a75_9910"
"DXG80_13130","","GNAT family N-acetyltransferase","8","8","1","1","2211","1","1482","","458","458","458","DR_0676.p01","A2G07_10120.p01","a6679ee1dd99a76d4f263da36fcf6004_10177","689a1f7569cd370648666ad3906989ad_4873","e7eb4eb1fba968f75f75040ad2de8570_7960","5974397fafb4265a64d121638449c96c_2761","DRO_0671.p01","5b1dec001b64d68f08bc514628990a75_7829"
"E5E91_07615","","PspA/IM30 family protein","8","8","1","1","1210","1","2245","","671","671","671","DR_1473.p01","A2G07_06205.p01","a6679ee1dd99a76d4f263da36fcf6004_2722","689a1f7569cd370648666ad3906989ad_7942","e7eb4eb1fba968f75f75040ad2de8570_4973","5974397fafb4265a64d121638449c96c_5944","DRO_1455.p01","5b1dec001b64d68f08bc514628990a75_452"
"DRO_B0037","","GGDEF domain-containing protein","8","8","1","3","121","3","147","","659","659","659","DR_B0034.p01","A2G07_15150.p01","a6679ee1dd99a76d4f263da36fcf6004_12451","689a1f7569cd370648666ad3906989ad_12384","e7eb4eb1fba968f75f75040ad2de8570_11957","5974397fafb4265a64d121638449c96c_12381","DRO_B0037.p01","5b1dec001b64d68f08bc514628990a75_12616"
"E5E91_14995","","branched-chain amino acid ABC transporter permease","8","8","1","2","212","2","349","","1049","1049","1049","DR_A0262.p01","A2G07_14770.p01","a6679ee1dd99a76d4f263da36fcf6004_11450","689a1f7569cd370648666ad3906989ad_10400","e7eb4eb1fba968f75f75040ad2de8570_11068","5974397fafb4265a64d121638449c96c_11680","DRO_A0261.p01","5b1dec001b64d68f08bc514628990a75_11300"
