"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_001399775.1","GCA_018771645.1","GCA_028472205.1"
"TO73_1511","","comA operon protein 2","1","1","1","","","","","","404","404","404","TO73_1511.p01","",""
"TO73_2408","","membrane dipeptidase","1","1","1","","","","","","962","962","962","TO73_2408.p01","",""
"TO73_1512","","excinuclease ABC subunit C","1","1","1","","","","","","1787","1787","1787","TO73_1512.p01","",""
"TO73_1513","","BNR repeat domain protein","1","1","1","","","","","","1037","1037","1037","TO73_1513.p01","",""
"TO73_1514","","arginyl-tRNA synthetase","1","1","1","","","","","","1778","1778","1778","TO73_1514.p01","",""
"TO73_1515","","putative serine protease","1","1","1","","","","","","1049","1049","1049","TO73_1515.p01","",""
"TO73_1516","","Deoxyadenosine kinase / deoxyguanosine kinase","1","1","1","","","","","","602","602","602","TO73_1516.p01","",""
"TO73_1517","","Deoxyadenosine kinase / deoxyguanosine kinase","1","1","1","","","","","","608","608","608","TO73_1517.p01","",""
"TO73_1518","","UDP-N-acetylmuramoylalanyl-D-glutamate--L- ornithine ligase","1","1","1","","","","","","1460","1460","1460","TO73_1518.p01","",""
"TO73_1519","","tRNA:m(5)U-54 methyltransferase gid","1","1","1","","","","","","1325","1325","1325","TO73_1519.p01","",""
"TO73_1520","","putative dioxygenase","1","1","1","","","","","","530","530","530","TO73_1520.p01","",""
"TO73_1521","","imidazole glycerol phosphate synthase cyclase subunit","1","1","1","","","","","","758","758","758","TO73_1521.p01","",""
"TO73_1522","","phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphatase","1","1","1","","","","","","629","629","629","TO73_1522.p01","",""
"TO73_1523","","hypothetical protein","1","1","1","","","","","","164","164","164","TO73_1523.p01","",""
"TO73_1525","","hypothetical protein","1","1","1","","","","","","149","149","149","TO73_1525.p01","",""
"TO73_1526","","hypothetical protein","1","1","1","","","","","","674","674","674","TO73_1526.p01","",""
"TO73_2821","","hypothetical protein","1","1","1","","","","","","695","695","695","TO73_2821.p01","",""
"TO73_1527","","tungsten-containing aldehyde ferredoxin oxidoreductase","1","1","1","","","","","","1862","1862","1862","TO73_1527.p01","",""
"TO73_1528","","TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA","1","1","1","","","","","","545","545","545","TO73_1528.p01","",""
"TO73_1529","","hypothetical protein","1","1","1","","","","","","641","641","641","TO73_1529.p01","",""
"TO73_1530","","AttH protein","1","1","1","","","","","","986","986","986","TO73_1530.p01","",""
"TO73_1531","","putative deoxyribonuclease YcfH","1","1","1","","","","","","752","752","752","TO73_1531.p01","",""
"TO73_1532","","cardiolipin synthetase","1","1","1","","","","","","356","356","356","TO73_1532.p01","",""
"TO73_1533","","hypothetical protein","1","1","1","","","","","","299","299","299","TO73_1533.p01","",""
"TO73_2409","","hypothetical protein","1","1","1","","","","","","566","566","566","TO73_2409.p01","",""
"TO73_1534","","aspartyl-tRNA synthetase / aspartyl-tRNA(Asn) synthetase","1","1","1","","","","","","1268","1268","1268","TO73_1534.p01","",""
"TO73_1537","","succinate dehydrogenase hydrophobic membrane anchor protein","1","1","1","","","","","","395","395","395","TO73_1537.p01","",""
"TO73_1539","","S-adenosylmethionine decarboxylase proenzyme, prokaryotic class 1B","1","1","1","","","","","","434","434","434","TO73_1539.p01","",""
"TO73_1540","","hypothetical protein","1","1","1","","","","","","1145","1145","1145","TO73_1540.p01","",""
"TO73_1541","","ABC transporter ATP-binding protein","1","1","1","","","","","","923","923","923","TO73_1541.p01","",""
"TO73_1542","","ABC-type transport, permease protein","1","1","1","","","","","","956","956","956","TO73_1542.p01","",""
"TO73_1543","","cupin","1","1","1","","","","","","377","377","377","TO73_1543.p01","",""
"TO73_1544","","putative phosphoribosyl transferase","1","1","1","","","","","","626","626","626","TO73_1544.p01","",""
"TO73_1545","","long-chain-fatty-acid--CoA ligase","1","1","1","","","","","","1673","1673","1673","TO73_1545.p01","",""
"TO73_1546","","cysteine desulfurase","1","1","1","","","","","","1118","1118","1118","TO73_1546.p01","",""
"TO73_1547","","iron-sulfur cluster regulator IscR","1","1","1","","","","","","446","446","446","TO73_1547.p01","",""
"TO73_1548","","zinc ABC transporter, inner membrane permease protein ZnuB","1","1","1","","","","","","806","806","806","TO73_1548.p01","",""
"TO73_1549","","manganese transport system ATP-binding protein MntA","1","1","1","","","","","","740","740","740","TO73_1549.p01","",""
"TO73_1550","","acyl carrier protein","1","1","1","","","","","","242","242","242","TO73_1550.p01","",""
"TO73_1551","","3-oxoacyl-[acyl-carrier-protein] synthase, KASII","1","1","1","","","","","","1226","1226","1226","TO73_1551.p01","",""
"TO73_1552","","Deoxyguanosinetriphosphate triphosphohydrolase","1","1","1","","","","","","1127","1127","1127","TO73_1552.p01","",""
"TO73_1553","","transcriptional regulator, GntR family domain / aspartate aminotransferase","1","1","1","","","","","","1190","1190","1190","TO73_1553.p01","",""
"TO73_1554","","phenylacetate-coenzyme A ligase","1","1","1","","","","","","1136","1136","1136","TO73_1554.p01","",""
"TO73_1555","","ribokinase","1","1","1","","","","","","920","920","920","TO73_1555.p01","",""
"TO73_1556","","imidazole glycerol phosphate synthase amidotransferase subunit","1","1","1","","","","","","596","596","596","TO73_1556.p01","",""
"TO73_1557","","imidazoleglycerol-phosphate dehydratase","1","1","1","","","","","","584","584","584","TO73_1557.p01","",""
"TO73_1558","","histidinol-phosphate aminotransferase","1","1","1","","","","","","1043","1043","1043","TO73_1558.p01","",""
"TO73_1559","","hypothetical protein","1","1","1","","","","","","119","119","119","TO73_1559.p01","",""
"TO73_1560","","transposase, IS605 family, OrfB","1","1","1","","","","","","1553","1553","1553","TO73_1560.p01","",""
"TO73_1561","","DNA polymerase beta domain protein","1","1","1","","","","","","443","443","443","TO73_1561.p01","",""
"TO73_1562","","thiamine-monophosphate kinase","1","1","1","","","","","","941","941","941","TO73_1562.p01","",""
"TO73_1563","","hypothetical protein","1","1","1","","","","","","716","716","716","TO73_1563.p01","",""
"TO73_1564","","N-acetylmannosaminyltransferase","1","1","1","","","","","","704","704","704","TO73_1564.p01","",""
"TO73_1565","","hypothetical protein","1","1","1","","","","","","1943","1943","1943","TO73_1565.p01","",""
"TO73_1566","","hypothetical protein","1","1","1","","","","","","2483","2483","2483","TO73_1566.p01","",""
"TO73_1567","","type III restriction-modification system methylation subunit","1","1","1","","","","","","1592","1592","1592","TO73_1567.p01","",""
"TO73_1568","","hypothetical protein","1","1","1","","","","","","212","212","212","TO73_1568.p01","",""
"TO73_1569","","ADP-ribose 1'-phosphate phophatase related protein","1","1","1","","","","","","1082","1082","1082","TO73_1569.p01","",""
"TO73_1572","","hypothetical protein","1","1","1","","","","","","338","338","338","TO73_1572.p01","",""
"TO73_1573","","putative DNA-binding protein Erf","1","1","1","","","","","","638","638","638","TO73_1573.p01","",""
"TO73_1574","","hypothetical protein","1","1","1","","","","","","743","743","743","TO73_1574.p01","",""
"TO73_1575","","SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase","1","1","1","","","","","","818","818","818","TO73_1575.p01","",""
"TO73_1576","","NADH ubiquinone oxidoreductase chain A","1","1","1","","","","","","338","338","338","TO73_1576.p01","",""
"TO73_1578","","NADH-ubiquinone oxidoreductase chain C","1","1","1","","","","","","620","620","620","TO73_1578.p01","",""
"TO73_1579","","NADH-ubiquinone oxidoreductase chain D","1","1","1","","","","","","1220","1220","1220","TO73_1579.p01","",""
"TO73_1580","","NADH-ubiquinone oxidoreductase chain E","1","1","1","","","","","","545","545","545","TO73_1580.p01","",""
"TO73_1581","","NADH-ubiquinone oxidoreductase chain F","1","1","1","","","","","","1313","1313","1313","TO73_1581.p01","",""
"TO73_1582","","NADH-ubiquinone oxidoreductase chain G","1","1","1","","","","","","2351","2351","2351","TO73_1582.p01","",""
"TO73_1583","","NADH-ubiquinone oxidoreductase chain H","1","1","1","","","","","","1091","1091","1091","TO73_1583.p01","",""
"TO73_1585","","NADH-ubiquinone oxidoreductase chain J","1","1","1","","","","","","533","533","533","TO73_1585.p01","",""
"TO73_1587","","NADH-ubiquinone oxidoreductase chain L","1","1","1","","","","","","1820","1820","1820","TO73_1587.p01","",""
"TO73_1588","","NADH-ubiquinone oxidoreductase chain M","1","1","1","","","","","","1409","1409","1409","TO73_1588.p01","",""
"TO73_1589","","NADH-ubiquinone oxidoreductase chain N","1","1","1","","","","","","1280","1280","1280","TO73_1589.p01","",""
"TO73_1591","","aconitate hydratase","1","1","1","","","","","","2729","2729","2729","TO73_1591.p01","",""
"TO73_1592","","V-type ATP synthase subunit D","1","1","1","","","","","","665","665","665","TO73_1592.p01","",""
"TO73_1595","","V-type ATP synthase subunit F","1","1","1","","","","","","320","320","320","TO73_1595.p01","",""
"TO73_1596","","V-type ATP synthase subunit C","1","1","1","","","","","","971","971","971","TO73_1596.p01","",""
"TO73_1597","","V-type ATP synthase subunit E","1","1","1","","","","","","566","566","566","TO73_1597.p01","",""
"TO73_1599","","V-type ATP synthase subunit I","1","1","1","","","","","","1949","1949","1949","TO73_1599.p01","",""
"TO73_1600","","V-type ATP synthase subunit G","1","1","1","","","","","","314","314","314","TO73_1600.p01","",""
"TO73_1601","","mobile element protein","1","1","1","","","","","","866","866","866","TO73_1601.p01","",""
"TO73_1602","","hypothetical protein","1","1","1","","","","","","539","539","539","TO73_1602.p01","",""
"TO73_1603","","hypothetical protein","1","1","1","","","","","","434","434","434","TO73_1603.p01","",""
"TO73_1604","","hypothetical protein","1","1","1","","","","","","1520","1520","1520","TO73_1604.p01","",""
"TO73_1605","","hypothetical protein","1","1","1","","","","","","302","302","302","TO73_1605.p01","",""
"TO73_1606","","hypothetical protein","1","1","1","","","","","","1334","1334","1334","TO73_1606.p01","",""
"TO73_1607","","LSU m5C1962 methyltransferase RlmI","1","1","1","","","","","","1145","1145","1145","TO73_1607.p01","",""
"TO73_1608","","hypothetical protein","1","1","1","","","","","","578","578","578","TO73_1608.p01","",""
"TO73_1609","","hypothetical protein","1","1","1","","","","","","209","209","209","TO73_1609.p01","",""
"TO73_1610","","hypothetical protein","1","1","1","","","","","","365","365","365","TO73_1610.p01","",""
"TO73_1611","","metal-dependent hydrolase","1","1","1","","","","","","674","674","674","TO73_1611.p01","",""
"TO73_1612","","serine/threonine-protein kinase Pkn2","1","1","1","","","","","","824","824","824","TO73_1612.p01","",""
"TO73_1613","","acetoacetyl-CoA synthetase","1","1","1","","","","","","1892","1892","1892","TO73_1613.p01","",""
"TO73_1614","","hypothetical protein","1","1","1","","","","","","2381","2381","2381","TO73_1614.p01","",""
"TO73_1615","","virulence factor MviN","1","1","1","","","","","","1484","1484","1484","TO73_1615.p01","",""
"TO73_1616","","hypothetical protein","1","1","1","","","","","","1058","1058","1058","TO73_1616.p01","",""
"TO73_1619","","cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily M","1","1","1","","","","","","1151","1151","1151","TO73_1619.p01","",""
"TO73_1620","","hypothetical protein","1","1","1","","","","","","1412","1412","1412","TO73_1620.p01","",""
"TO73_1621","","vitamin B12 ABC transporter, B12-binding component BtuF","1","1","1","","","","","","797","797","797","TO73_1621.p01","",""
"TO73_1622","","histidinol dehydrogenase","1","1","1","","","","","","1238","1238","1238","TO73_1622.p01","",""
"TO73_1623","","hypothetical protein","1","1","1","","","","","","596","596","596","TO73_1623.p01","",""
"TO73_1624","","hypothetical protein","1","1","1","","","","","","1061","1061","1061","TO73_1624.p01","",""
"TO73_2410","","uracil-DNA glycosylase, family 4","1","1","1","","","","","","506","506","506","TO73_2410.p01","",""
"TO73_1626","","molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA","1","1","1","","","","","","869","869","869","TO73_1626.p01","",""
"TO73_1627","","molybdenum transport system permease protein ModB","1","1","1","","","","","","674","674","674","TO73_1627.p01","",""
"TO73_1628","","molybdenum transport ATP-binding protein ModC","1","1","1","","","","","","998","998","998","TO73_1628.p01","",""
"TO73_1629","","hypothetical protein","1","1","1","","","","","","320","320","320","TO73_1629.p01","",""
"TO73_1630","","histidyl-tRNA synthetase","1","1","1","","","","","","1256","1256","1256","TO73_1630.p01","",""
"TO73_1631","","aspartyl-tRNA synthetase","1","1","1","","","","","","1745","1745","1745","TO73_1631.p01","",""
"TO73_1632","","phenazine biosynthesis protein PhzF","1","1","1","","","","","","875","875","875","TO73_1632.p01","",""
"TO73_1633","","hydrolase (HAD superfamily)","1","1","1","","","","","","827","827","827","TO73_1633.p01","",""
"TO73_1634","","asparaginyl-tRNA synthetase","1","1","1","","","","","","1316","1316","1316","TO73_1634.p01","",""
"TO73_1635","","pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit","1","1","1","","","","","","575","575","575","TO73_1635.p01","",""
"TO73_1636","","putative UV endonuclease","1","1","1","","","","","","860","860","860","TO73_1636.p01","",""
"TO73_1637","","hypothetical protein","1","1","1","","","","","","515","515","515","TO73_1637.p01","",""
"TO73_1638","","hypothetical protein","1","1","1","","","","","","533","533","533","TO73_1638.p01","",""
"TO73_1639","","sepiapterin reductase","1","1","1","","","","","","623","623","623","TO73_1639.p01","",""
"TO73_1640","","proteorhodopsin","1","1","1","","","","","","782","782","782","TO73_1640.p01","",""
"TO73_1641","","hypothetical protein","1","1","1","","","","","","767","767","767","TO73_1641.p01","",""
"TO73_1642","","nucleoside-diphosphate-sugar epimerase","1","1","1","","","","","","1520","1520","1520","TO73_1642.p01","",""
"TO73_1643","","carotenoid cis-trans isomerase","1","1","1","","","","","","1403","1403","1403","TO73_1643.p01","",""
"TO73_1644","","hypothetical protein","1","1","1","","","","","","1265","1265","1265","TO73_1644.p01","",""
"TO73_1645","","putative 3-demethylubiquinone-9 3-methyltransferase","1","1","1","","","","","","713","713","713","TO73_1645.p01","",""
"TO73_1646","","hypothetical protein","1","1","1","","","","","","665","665","665","TO73_1646.p01","",""
"TO73_1647","","Na /H  antiporter NhaA type","1","1","1","","","","","","1241","1241","1241","TO73_1647.p01","",""
"TO73_1648","","cadmium-transporting ATPase","1","1","1","","","","","","2018","2018","2018","TO73_1648.p01","",""
"TO73_1649","","cadmium efflux system accessory protein","1","1","1","","","","","","371","371","371","TO73_1649.p01","",""
"TO73_1651","","cell wall endopeptidase, family M23/M37","1","1","1","","","","","","1184","1184","1184","TO73_1651.p01","",""
"TO73_1653","","transaldolase","1","1","1","","","","","","665","665","665","TO73_1653.p01","",""
"TO73_1654","","isoleucyl-tRNA synthetase","1","1","1","","","","","","3143","3143","3143","TO73_1654.p01","",""
"TO73_1655","","hypothetical protein","1","1","1","","","","","","554","554","554","TO73_1655.p01","",""
"TO73_1656","","aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)","1","1","1","","","","","","1037","1037","1037","TO73_1656.p01","",""
"TO73_1657","","rare lipoprotein A precursor","1","1","1","","","","","","491","491","491","TO73_1657.p01","",""
"TO73_1658","","endonuclease IV","1","1","1","","","","","","830","830","830","TO73_1658.p01","",""
"TO73_1659","","hypothetical protein","1","1","1","","","","","","146","146","146","TO73_1659.p01","",""
"TO73_1660","","membrane metalloprotease","1","1","1","","","","","","659","659","659","TO73_1660.p01","",""
"TO73_1661","","membrane metalloprotease","1","1","1","","","","","","605","605","605","TO73_1661.p01","",""
"TO73_1662","","tRNA nucleotidyltransferase, A-adding","1","1","1","","","","","","2501","2501","2501","TO73_1662.p01","",""
"TO73_1663","","tRNA-Ser","1","1","1","","","","","","90","90","90","TO73_1663.r01","",""
"TO73_1665","","oxidoreductase family protein","1","1","1","","","","","","818","818","818","TO73_1665.p01","",""
"TO73_1668","","hypothetical protein","1","1","1","","","","","","290","290","290","TO73_1668.p01","",""
"TO73_1670","","Mg/Co/Ni transporter MgtE / CBS domain","1","1","1","","","","","","1364","1364","1364","TO73_1670.p01","",""
"TO73_1672","","DNA repair protein RecN","1","1","1","","","","","","149","149","149","TO73_1672.p01","",""
"TO73_1676","","transposase","1","1","1","","","","","","917","917","917","TO73_1676.p01","",""
"TO73_1677","","transposase","1","1","1","","","","","","269","269","269","TO73_1677.p01","",""
"TO73_1680","","SSU ribosomal protein S2p (SAe)","1","1","1","","","","","","791","791","791","TO73_1680.p01","",""
"TO73_1681","","translation elongation factor Ts","1","1","1","","","","","","581","581","581","TO73_1681.p01","",""
"TO73_1683","","ribosome recycling factor","1","1","1","","","","","","557","557","557","TO73_1683.p01","",""
"TO73_1684","","phosphatidate cytidylyltransferase","1","1","1","","","","","","824","824","824","TO73_1684.p01","",""
"TO73_1685","","1-deoxy-D-xylulose 5-phosphate reductoisomerase","1","1","1","","","","","","1103","1103","1103","TO73_1685.p01","",""
"TO73_1686","","membrane-associated zinc metalloprotease","1","1","1","","","","","","1010","1010","1010","TO73_1686.p01","",""
"TO73_1687","","glycosyltransferase involved in cell wall biogenesis","1","1","1","","","","","","626","626","626","TO73_1687.p01","",""
"TO73_1688","","hypothetical protein","1","1","1","","","","","","524","524","524","TO73_1688.p01","",""
"TO73_1689","","pyrroline-5-carboxylate reductase","1","1","1","","","","","","785","785","785","TO73_1689.p01","",""
"TO73_1690","","ribosomal RNA small subunit methyltransferase B","1","1","1","","","","","","1196","1196","1196","TO73_1690.p01","",""
"TO73_1692","","hypothetical protein","1","1","1","","","","","","437","437","437","TO73_1692.p01","",""
"TO73_1693","","regulatory protein RecX","1","1","1","","","","","","428","428","428","TO73_1693.p01","",""
"TO73_1694","","phosphohydrolase","1","1","1","","","","","","683","683","683","TO73_1694.p01","",""
"TO73_1695","","CAAX amino terminal protease family protein","1","1","1","","","","","","548","548","548","TO73_1695.p01","",""
"TO73_1696","","serine protein kinase (PrkA protein, P-loop containing)","1","1","1","","","","","","2012","2012","2012","TO73_1696.p01","",""
"TO73_1697","","glycosyltransferase","1","1","1","","","","","","1043","1043","1043","TO73_1697.p01","",""
"TO73_1698","","SpoVR-like protein","1","1","1","","","","","","1373","1373","1373","TO73_1698.p01","",""
"TO73_1699","","thioredoxin","1","1","1","","","","","","791","791","791","TO73_1699.p01","",""
"TO73_1700","","rhodanese-like domain protein","1","1","1","","","","","","374","374","374","TO73_1700.p01","",""
"TO73_1701","","glutaredoxin-like protein","1","1","1","","","","","","689","689","689","TO73_1701.p01","",""
"TO73_1702","","hypothetical protein","1","1","1","","","","","","125","125","125","TO73_1702.p01","",""
"TO73_1703","","metallo-beta-lactamase family protein","1","1","1","","","","","","1436","1436","1436","TO73_1703.p01","",""
"TO73_1704","","putative transferase/hydrolase","1","1","1","","","","","","659","659","659","TO73_1704.p01","",""
"TO73_1705","","hypothetical protein","1","1","1","","","","","","743","743","743","TO73_1705.p01","",""
"TO73_1706","","hypothetical protein","1","1","1","","","","","","848","848","848","TO73_1706.p01","",""
"TO73_1707","","hypothetical protein","1","1","1","","","","","","128","128","128","TO73_1707.p01","",""
"TO73_1708","","uroporphyrinogen III decarboxylase","1","1","1","","","","","","1163","1163","1163","TO73_1708.p01","",""
"TO73_1709","","ferrochelatase, protoheme ferro-lyase","1","1","1","","","","","","959","959","959","TO73_1709.p01","",""
"TO73_1710","","protoporphyrinogen IX oxidase, aerobic, HemY","1","1","1","","","","","","1355","1355","1355","TO73_1710.p01","",""
"TO73_1711","","hypothetical protein","1","1","1","","","","","","2243","2243","2243","TO73_1711.p01","",""
"TO73_1712","","hypothetical protein","1","1","1","","","","","","356","356","356","TO73_1712.p01","",""
"TO73_1713","","Diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)","1","1","1","","","","","","2573","2573","2573","TO73_1713.p01","",""
"TO73_1714","","HD-hydrolase domain containing protein","1","1","1","","","","","","2936","2936","2936","TO73_1714.p01","",""
"TO73_1715","","periplasmic serine protease, HtrA/DegQ/DegS family","1","1","1","","","","","","1007","1007","1007","TO73_1715.p01","",""
"TO73_1716","","alkaline serine exoprotease A precursor","1","1","1","","","","","","1520","1520","1520","TO73_1716.p01","",""
"TO73_1717","","putative hydrolase","1","1","1","","","","","","986","986","986","TO73_1717.p01","",""
"TO73_1718","","hypothetical protein","1","1","1","","","","","","1061","1061","1061","TO73_1718.p01","",""
"TO73_1719","","sorbitol dehydrogenase","1","1","1","","","","","","1085","1085","1085","TO73_1719.p01","",""
"TO73_1720","","bacterioferritin comigratory protein","1","1","1","","","","","","485","485","485","TO73_1720.p01","",""
"TO73_1721","","cell division protein FtsX","1","1","1","","","","","","854","854","854","TO73_1721.p01","",""
"TO73_1722","","hypothetical protein","1","1","1","","","","","","1280","1280","1280","TO73_1722.p01","",""
"TO73_1723","","ribosomal subunit interface protein","1","1","1","","","","","","560","560","560","TO73_1723.p01","",""
"TO73_1724","","cell division transporter, ATP-binding protein FtsE","1","1","1","","","","","","728","728","728","TO73_1724.p01","",""
"TO73_1725","","carboxyl-terminal protease","1","1","1","","","","","","1331","1331","1331","TO73_1725.p01","",""
"TO73_1726","","hypothetical protein","1","1","1","","","","","","869","869","869","TO73_1726.p01","",""
"TO73_1727","","methionyl-tRNA synthetase","1","1","1","","","","","","1859","1859","1859","TO73_1727.p01","",""
"TO73_1728","","hypothetical protein","1","1","1","","","","","","353","353","353","TO73_1728.p01","",""
"TO73_1729","","hypothetical protein","1","1","1","","","","","","218","218","218","TO73_1729.p01","",""
"TO73_1730","","hypothetical protein","1","1","1","","","","","","320","320","320","TO73_1730.p01","",""
"TO73_1731","","hypothetical protein","1","1","1","","","","","","218","218","218","TO73_1731.p01","",""
"TO73_1732","","ribose 5-phosphate isomerase A","1","1","1","","","","","","683","683","683","TO73_1732.p01","",""
"TO73_1733","","thiol peroxidase, Bcp-type","1","1","1","","","","","","464","464","464","TO73_1733.p01","",""
"TO73_1734","","putative transmembrane protein","1","1","1","","","","","","485","485","485","TO73_1734.p01","",""
"TO73_1735","","menaquinone via futalosine step 3","1","1","1","","","","","","1136","1136","1136","TO73_1735.p01","",""
"TO73_1736","","tryptophan synthase alpha chain","1","1","1","","","","","","779","779","779","TO73_1736.p01","",""
"TO73_1737","","tryptophan synthase beta chain","1","1","1","","","","","","1217","1217","1217","TO73_1737.p01","",""
"TO73_1738","","thymidylate synthase ThyX","1","1","1","","","","","","803","803","803","TO73_1738.p01","",""
"TO73_1739","","DNA ligase","1","1","1","","","","","","2024","2024","2024","TO73_1739.p01","",""
"TO73_1741","","periplasmic thiol:disulfide interchange protein DsbA","1","1","1","","","","","","602","602","602","TO73_1741.p01","",""
"TO73_1742","","spermidine synthase","1","1","1","","","","","","944","944","944","TO73_1742.p01","",""
"TO73_1744","","cell division protein FtsK","1","1","1","","","","","","2588","2588","2588","TO73_1744.p01","",""
"TO73_1745","","putative cationic outer membrane protein OmpH","1","1","1","","","","","","491","491","491","TO73_1745.p01","",""
"TO73_1746","","hypothetical protein","1","1","1","","","","","","440","440","440","TO73_1746.p01","",""
"TO73_1747","","CBS domain protein","1","1","1","","","","","","632","632","632","TO73_1747.p01","",""
"TO73_1748","","prephenate dehydratase","1","1","1","","","","","","821","821","821","TO73_1748.p01","",""
"TO73_1749","","fructokinase","1","1","1","","","","","","749","749","749","TO73_1749.p01","",""
"TO73_1750","","tRNA-dependent lipid II--glycine ligase / tRNA-dependent lipid II-Gly--glycine ligase","1","1","1","","","","","","1022","1022","1022","TO73_1750.p01","",""
"TO73_1751","","hypothetical protein","1","1","1","","","","","","566","566","566","TO73_1751.p01","",""
"TO73_1752","","hypothetical protein","1","1","1","","","","","","857","857","857","TO73_1752.p01","",""
"TO73_1753","","hypothetical protein","1","1","1","","","","","","917","917","917","TO73_1753.p01","",""
"TO73_1754","","sugar transport ATP-binding protein","1","1","1","","","","","","1490","1490","1490","TO73_1754.p01","",""
"TO73_1755","","membrane lipoprotein","1","1","1","","","","","","1124","1124","1124","TO73_1755.p01","",""
"TO73_2247","","hypothetical protein","1","1","1","","","","","","404","404","404","TO73_2247.p01","",""
"TO73_1756","","hypothetical protein","1","1","1","","","","","","179","179","179","TO73_1756.p01","",""
"TO73_1757","","glutathione-regulated potassium-efflux system protein KefC","1","1","1","","","","","","1535","1535","1535","TO73_1757.p01","",""
"TO73_1758","","hypothetical protein","1","1","1","","","","","","734","734","734","TO73_1758.p01","",""
"TO73_1759","","preprotein translocase subunit SecA","1","1","1","","","","","","2993","2993","2993","TO73_1759.p01","",""
"TO73_1760","","TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA","1","1","1","","","","","","968","968","968","TO73_1760.p01","",""
"TO73_1761","","hypothetical protein","1","1","1","","","","","","1310","1310","1310","TO73_1761.p01","",""
"TO73_1762","","Fe-S binding reductase, putative","1","1","1","","","","","","425","425","425","TO73_1762.p01","",""
"TO73_1763","","hypothetical protein","1","1","1","","","","","","209","209","209","TO73_1763.p01","",""
"TO73_1764","","putative ATP-dependent helicase lhr","1","1","1","","","","","","2201","2201","2201","TO73_1764.p01","",""
"TO73_1765","","hypothetical protein","1","1","1","","","","","","410","410","410","TO73_1765.p01","",""
"TO73_1766","","adenylate cyclase","1","1","1","","","","","","2537","2537","2537","TO73_1766.p01","",""
"TO73_1767","","DNA primase","1","1","1","","","","","","1733","1733","1733","TO73_1767.p01","",""
"TO73_1768","","malate dehydrogenase","1","1","1","","","","","","983","983","983","TO73_1768.p01","",""
"TO73_2415","","hypothetical protein","1","1","1","","","","","","83","83","83","TO73_2415.p01","",""
"TO73_1770","","ribosomal RNA small subunit methyltransferase C","1","1","1","","","","","","1124","1124","1124","TO73_1770.p01","",""
"TO73_1771","","RNA polymerase sigma factor RpoD","1","1","1","","","","","","1319","1319","1319","TO73_1771.p01","",""
"TO73_1772","","hypothetical protein","1","1","1","","","","","","494","494","494","TO73_1772.p01","",""
"TO73_1773","","exoenzymes regulatory protein AepA precursor","1","1","1","","","","","","1373","1373","1373","TO73_1773.p01","",""
"TO73_1774","","ADP-ribose pyrophosphatase","1","1","1","","","","","","488","488","488","TO73_1774.p01","",""
"TO73_1775","","riboflavin kinase / FMN adenylyltransferase","1","1","1","","","","","","884","884","884","TO73_1775.p01","",""
"TO73_1776","","glycine dehydrogenase (decarboxylating) (glycine cleavage system P2 protein)","1","1","1","","","","","","1424","1424","1424","TO73_1776.p01","",""
"TO73_1777","","glycine dehydrogenase (decarboxylating) (glycine cleavage system P1 protein)","1","1","1","","","","","","1313","1313","1313","TO73_1777.p01","",""
"TO73_1778","","glycine cleavage system H protein","1","1","1","","","","","","383","383","383","TO73_1778.p01","",""
"TO73_1779","","aminomethyltransferase (glycine cleavage system T protein)","1","1","1","","","","","","1049","1049","1049","TO73_1779.p01","",""
"TO73_1780","","bipolar DNA helicase HerA","1","1","1","","","","","","1724","1724","1724","TO73_1780.p01","",""
"TO73_1781","","single-stranded exonuclease associated with Rad50/Mre11 complex","1","1","1","","","","","","884","884","884","TO73_1781.p01","",""
"TO73_1782","","NAD-dependent malic enzyme","1","1","1","","","","","","1730","1730","1730","TO73_1782.p01","",""
"TO73_1783","","PaaD-like protein (DUF59) involved in Fe-S cluster assembly","1","1","1","","","","","","350","350","350","TO73_1783.p01","",""
"TO73_1784","","TerC-like integral membrane protein","1","1","1","","","","","","695","695","695","TO73_1784.p01","",""
"TO73_1785","","hypothetical protein","1","1","1","","","","","","302","302","302","TO73_1785.p01","",""
"TO73_1786","","putative sodium-dependent bicarbonate transporter","1","1","1","","","","","","956","956","956","TO73_1786.p01","",""
"TO73_1787","","phosphoribosylaminoimidazole carboxylase catalytic subunit","1","1","1","","","","","","470","470","470","TO73_1787.p01","",""
"TO73_1788","","phosphoribosylaminoimidazole carboxylase ATPase subunit","1","1","1","","","","","","1106","1106","1106","TO73_1788.p01","",""
"TO73_1789","","hypothetical protein","1","1","1","","","","","","1154","1154","1154","TO73_1789.p01","",""
